testNo, repeatNo, agentNo, agentID, agentType, agentTypeNo, x, y, z, yaw, vel_x, vel_y, vel_z, speed, time, sim_time, fps
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.260, -7.950, 1.545, -2.094, 0.000, 0.000, -2.935, 2.935, 0.000, 978.104, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.240, -62.490, 1.694, 0.000, 0.000, 0.000, -2.450, 2.450, 0.000, 978.104, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.260, -7.950, 1.198, -2.094, 0.000, 0.000, -3.912, 3.912, 0.100, 978.204, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.249, -62.565, 1.400, -0.509, 0.010, -0.005, -3.430, 3.430, 0.100, 978.204, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.260, -7.950, 0.753, -2.094, 0.000, 0.000, -4.888, 4.888, 0.200, 978.304, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.268, -62.714, 1.008, -1.116, 0.022, -0.024, -4.410, 4.410, 0.200, 978.304, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.260, -7.950, 0.210, -2.094, 0.000, 0.000, -5.862, 5.862, 0.300, 978.404, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.285, -62.873, 0.957, -1.413, 0.051, -0.226, 0.000, 0.232, 0.300, 978.404, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.261, -7.952, 0.062, -2.094, -0.002, 0.003, 0.211, 0.211, 0.400, 978.504, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.305, -63.033, 0.957, -1.558, 0.030, -0.451, 0.000, 0.452, 0.400, 978.504, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.261, -7.952, 0.086, -2.094, 0.001, -0.001, 0.239, 0.239, 0.500, 978.604, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.326, -63.193, 0.957, -1.630, -0.014, -0.672, 0.000, 0.672, 0.500, 978.604, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.261, -7.952, 0.106, -2.094, 0.001, -0.001, 0.155, 0.155, 0.600, 978.704, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.348, -63.353, 0.957, -1.665, -0.063, -0.891, 0.000, 0.893, 0.600, 978.704, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.261, -7.952, 0.118, -2.094, 0.000, -0.001, 0.085, 0.085, 0.700, 978.804, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.369, -63.513, 0.957, -1.679, -0.107, -1.109, 0.000, 1.114, 0.700, 978.804, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.261, -7.952, 0.124, -2.094, 0.000, -0.000, 0.043, 0.043, 0.800, 978.904, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.388, -63.673, 0.956, -1.684, -0.143, -1.328, 0.000, 1.336, 0.800, 978.904, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.261, -7.952, 0.127, -2.094, 0.000, -0.000, 0.021, 0.021, 0.900, 979.004, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.407, -63.830, 0.956, -1.686, -0.169, -1.490, 0.000, 1.500, 0.900, 979.004, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.261, -7.952, 0.128, -2.094, 0.000, -0.000, 0.010, 0.010, 1.000, 979.104, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.425, -63.979, 0.956, -1.688, -0.173, -1.490, 0.000, 1.500, 1.000, 979.104, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.261, -7.952, 0.129, -2.094, 0.000, -0.000, 0.004, 0.004, 1.100, 979.204, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.443, -64.127, 0.955, -1.688, -0.175, -1.490, 0.000, 1.500, 1.100, 979.204, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.261, -7.952, 0.129, -2.094, 0.000, -0.000, 0.002, 0.002, 1.200, 979.304, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.460, -64.276, 0.955, -1.688, -0.176, -1.490, 0.000, 1.500, 1.200, 979.304, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.261, -7.952, 0.129, -2.094, 0.000, -0.000, 0.001, 0.001, 1.300, 979.404, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.478, -64.425, 0.955, -1.689, -0.176, -1.490, 0.000, 1.500, 1.300, 979.404, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.261, -7.952, 0.129, -2.094, 0.000, -0.000, 0.001, 0.001, 1.400, 979.504, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.495, -64.574, 0.955, -1.687, -0.175, -1.490, 0.000, 1.500, 1.400, 979.504, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.261, -7.952, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 1.500, 979.604, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.512, -64.723, 0.954, -1.687, -0.174, -1.490, 0.000, 1.500, 1.500, 979.604, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.261, -7.952, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 1.600, 979.704, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.530, -64.872, 0.954, -1.687, -0.174, -1.490, 0.000, 1.500, 1.600, 979.704, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.261, -7.952, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 1.700, 979.804, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.547, -65.021, 0.954, -1.687, -0.173, -1.490, 0.000, 1.500, 1.700, 979.804, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.261, -7.952, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 1.800, 979.904, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.564, -65.170, 0.953, -1.686, -0.173, -1.490, 0.000, 1.500, 1.800, 979.904, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.261, -7.952, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 1.900, 980.004, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.582, -65.319, 0.953, -1.686, -0.173, -1.490, 0.000, 1.500, 1.900, 980.004, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.261, -7.952, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 2.000, 980.104, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.604, -65.468, 0.953, -1.701, -0.185, -1.488, 0.000, 1.500, 2.000, 980.104, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.261, -7.952, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 2.100, 980.204, 0.000
0, 0, 2, 1680, walker.pedestrian.0002, 1, -22.626, -65.616, 0.952, -1.708, -0.198, -1.487, 0.000, 1.500, 2.100, 980.204, 0.000
0, 0, 1, 1679, vehicle.mercedes-benz.coupe, 3, -26.261, -7.952, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 2.200, 980.304, 0.000
