testNo ,repeatNo, agentNo, agentID, agentType, agentTypeNo, x, y, z, yaw, vel_x, vel_y, vel_z, speed, time, sim_time, fps
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.260, -98.130, 1.882, -2.094, 0.000, 0.000, -1.469, 1.469, 0.000, 625.777, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 30.630, -134.230, 1.946, -2.094, 0.000, 0.000, -0.979, 0.979, 0.000, 625.777, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.260, -98.130, 1.682, -2.094, 0.000, 0.000, -2.447, 2.447, 0.100, 625.877, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 30.630, -134.230, 1.794, -2.094, 0.000, 0.000, -1.958, 1.958, 0.100, 625.877, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.260, -98.130, 1.383, -2.094, 0.000, 0.000, -3.424, 3.424, 0.200, 625.977, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 30.630, -134.230, 1.545, -2.094, 0.000, 0.000, -2.935, 2.935, 0.200, 625.977, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.260, -98.130, 0.987, -2.094, 0.000, 0.000, -4.400, 4.400, 0.300, 626.077, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 30.655, -134.227, 1.253, -2.090, -0.167, 0.198, -2.818, 2.830, 0.300, 626.077, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.260, -98.130, 0.494, -2.094, 0.000, 0.000, -5.375, 5.375, 0.400, 626.177, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 30.643, -134.229, 1.162, -2.093, -0.343, -0.142, 0.092, 0.383, 0.400, 626.177, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.054, -2.094, 0.001, 0.006, 0.027, 0.028, 0.500, 626.277, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 30.605, -134.245, 1.179, -2.108, -0.470, -0.128, 0.181, 0.520, 0.500, 626.277, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.074, -2.094, 0.000, -0.000, 0.256, 0.256, 0.600, 626.377, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 30.558, -134.262, 1.194, -2.126, -0.553, -0.147, 0.097, 0.580, 0.600, 626.377, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.097, -2.094, 0.001, -0.001, 0.199, 0.199, 0.700, 626.477, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 30.504, -134.281, 1.199, -2.147, -0.636, -0.165, 0.012, 0.657, 0.700, 626.477, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.113, -2.094, 0.000, -0.001, 0.117, 0.117, 0.800, 626.577, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 30.442, -134.303, 1.198, -2.172, -0.725, -0.176, -0.046, 0.747, 0.800, 626.577, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.121, -2.094, 0.000, -0.000, 0.061, 0.061, 0.900, 626.677, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 30.372, -134.326, 1.192, -2.200, -0.818, -0.180, -0.084, 0.842, 0.900, 626.677, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.125, -2.094, 0.000, -0.000, 0.030, 0.030, 1.000, 626.777, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 30.292, -134.349, 1.183, -2.232, -0.912, -0.173, -0.102, 0.934, 1.000, 626.777, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.127, -2.094, 0.000, -0.000, 0.014, 0.014, 1.100, 626.877, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 30.204, -134.373, 1.173, -2.267, -1.005, -0.158, -0.118, 1.024, 1.100, 626.877, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.128, -2.094, 0.000, -0.000, 0.006, 0.006, 1.200, 626.977, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 30.107, -134.395, 1.161, -2.305, -1.100, -0.135, -0.133, 1.116, 1.200, 626.977, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.129, -2.094, 0.000, -0.000, 0.003, 0.003, 1.300, 627.077, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 30.000, -134.416, 1.148, -2.347, -1.195, -0.101, -0.147, 1.208, 1.300, 627.077, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.129, -2.094, 0.000, -0.000, 0.001, 0.001, 1.400, 627.177, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 29.885, -134.433, 1.133, -2.391, -1.290, -0.056, -0.159, 1.301, 1.400, 627.177, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.129, -2.094, 0.000, -0.000, 0.001, 0.001, 1.500, 627.277, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 29.760, -134.447, 1.118, -2.439, -1.383, 0.001, -0.171, 1.393, 1.500, 627.277, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 1.600, 627.377, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 29.626, -134.455, 1.101, -2.490, -1.473, 0.070, -0.183, 1.486, 1.600, 627.377, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 1.700, 627.477, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 29.484, -134.457, 1.083, -2.544, -1.556, 0.157, -0.185, 1.574, 1.700, 627.477, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 1.800, 627.577, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 29.333, -134.451, 1.065, -2.601, -1.630, 0.255, -0.191, 1.661, 1.800, 627.577, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 1.900, 627.677, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 29.175, -134.436, 1.046, -2.661, -1.696, 0.364, -0.198, 1.745, 1.900, 627.677, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 2.000, 627.777, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 29.010, -134.411, 1.027, -2.724, -1.750, 0.483, -0.201, 1.826, 2.000, 627.777, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 2.100, 627.877, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 28.840, -134.374, 1.007, -2.789, -1.792, 0.616, -0.206, 1.906, 2.100, 627.877, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 2.200, 627.977, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 28.663, -134.327, 0.986, -2.856, -1.871, 0.690, -0.211, 2.006, 2.200, 627.977, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 2.300, 628.077, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 28.469, -134.283, 0.964, -2.916, -2.059, 0.578, -0.228, 2.151, 2.300, 628.077, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.261, -98.136, 0.129, -2.092, 0.026, -0.332, -0.000, 0.333, 2.400, 628.177, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 28.255, -134.249, 0.940, -2.966, -2.238, 0.431, -0.246, 2.292, 2.400, 628.177, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.255, -98.247, 0.129, -2.050, 0.272, -1.764, -0.000, 1.785, 2.500, 628.277, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 27.979, -134.226, 0.908, -3.009, -3.393, 0.309, -0.373, 3.428, 2.500, 628.277, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.233, -98.478, 0.128, -1.966, 0.602, -2.921, -0.000, 2.982, 2.600, 628.377, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 27.570, -134.224, 0.862, -3.042, -4.601, -0.005, -0.500, 4.628, 2.600, 628.377, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.205, -98.827, 0.128, -1.867, 0.484, -4.138, 0.000, 4.166, 2.700, 628.477, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 27.057, -134.239, 0.807, -3.063, -5.490, -0.125, -0.567, 5.521, 2.700, 628.477, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.202, -99.291, 0.128, -1.785, 0.146, -5.108, 0.000, 5.111, 2.800, 628.577, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 26.475, -134.259, 0.747, -3.079, -6.008, -0.141, -0.592, 6.039, 2.800, 628.577, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.212, -99.834, 0.128, -1.722, 0.100, -5.712, 0.001, 5.713, 2.900, 628.677, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 25.863, -134.286, 0.687, -3.084, -6.143, -0.303, -0.573, 6.177, 2.900, 628.677, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.218, -100.419, 0.129, -1.672, 0.097, -5.954, -0.000, 5.955, 3.000, 628.777, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 25.254, -134.317, 0.631, -3.087, -5.995, -0.256, -0.523, 6.023, 3.000, 628.777, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.218, -101.011, 0.129, -1.636, 0.159, -5.884, -0.000, 5.886, 3.100, 628.877, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 24.668, -134.340, 0.580, -3.093, -5.714, -0.201, -0.471, 5.736, 3.100, 628.877, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.208, -101.587, 0.129, -1.607, 0.185, -5.651, -0.000, 5.654, 3.200, 628.977, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 24.113, -134.357, 0.534, -3.099, -5.401, -0.121, -0.415, 5.419, 3.200, 628.977, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.195, -102.136, 0.129, -1.587, 0.214, -5.366, -0.000, 5.370, 3.300, 629.077, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 23.587, -134.369, 0.494, -3.106, -5.122, -0.088, -0.384, 5.137, 3.300, 629.077, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.172, -102.657, 0.130, -1.567, 0.327, -5.098, -0.000, 5.109, 3.400, 629.177, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 23.086, -134.377, 0.457, -3.112, -4.916, -0.047, -0.330, 4.928, 3.400, 629.177, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.143, -103.155, 0.129, -1.550, 0.362, -4.906, -0.003, 4.919, 3.500, 629.277, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 22.599, -134.383, 0.425, -3.117, -4.802, -0.036, -0.294, 4.812, 3.500, 629.277, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.118, -103.640, 0.129, -1.541, 0.263, -4.799, 0.000, 4.807, 3.600, 629.377, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 22.120, -134.387, 0.394, -3.122, -4.763, -0.019, -0.289, 4.772, 3.600, 629.377, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.094, -104.117, 0.129, -1.536, 0.248, -4.750, 0.001, 4.757, 3.700, 629.477, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 21.642, -134.390, 0.364, -3.126, -4.772, -0.018, -0.294, 4.781, 3.700, 629.477, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.076, -104.591, 0.129, -1.536, 0.159, -4.747, 0.000, 4.750, 3.800, 629.577, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 21.162, -134.396, 0.335, -3.126, -4.798, -0.143, -0.275, 4.808, 3.800, 629.577, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.061, -105.067, 0.129, -1.536, 0.148, -4.761, 0.000, 4.763, 3.900, 629.677, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 20.680, -134.413, 0.307, -3.119, -4.831, -0.213, -0.256, 4.842, 3.900, 629.677, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.039, -105.542, 0.129, -1.532, 0.262, -4.746, 0.000, 4.753, 4.000, 629.777, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 20.193, -134.432, 0.282, -3.115, -4.862, -0.167, -0.194, 4.869, 4.000, 629.777, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -5.013, -106.016, 0.129, -1.528, 0.277, -4.737, 0.000, 4.746, 4.100, 629.877, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 19.704, -134.447, 0.263, -3.114, -4.893, -0.133, -0.182, 4.898, 4.100, 629.877, 0.000
0, 0, 1, 266, vehicle.mercedes-benz.coupe, 3, -4.992, -106.490, 0.129, -1.528, 0.183, -4.733, 0.000, 4.737, 4.200, 629.977, 0.000
0, 0, 2, 267, vehicle.mercedes-benz.coupe, 3, 19.212, -134.459, 0.243, -3.115, -4.924, -0.095, -0.187, 4.928, 4.200, 629.977, 0.000
