testNo ,repeatNo, agentNo, agentID, agentType, agentTypeNo, x, y, z, yaw, vel_x, vel_y, vel_z, speed, time, sim_time, fps
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.260, -98.130, 1.882, -2.094, 0.000, 0.000, -1.469, 1.469, 0.000, 288.827, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 16.630, -134.530, 1.946, -2.094, 0.000, 0.000, -0.979, 0.979, 0.000, 288.827, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.260, -98.130, 1.682, -2.094, 0.000, 0.000, -2.447, 2.447, 0.100, 288.927, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 16.630, -134.530, 1.794, -2.094, 0.000, 0.000, -1.958, 1.958, 0.100, 288.927, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.260, -98.130, 1.383, -2.094, 0.000, 0.000, -3.424, 3.424, 0.200, 289.027, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 16.630, -134.530, 1.545, -2.094, 0.000, 0.000, -2.935, 2.935, 0.200, 289.027, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.260, -98.130, 0.987, -2.094, 0.000, 0.000, -4.400, 4.400, 0.300, 289.127, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 16.630, -134.530, 1.198, -2.094, 0.000, 0.000, -3.912, 3.912, 0.300, 289.127, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.260, -98.130, 0.494, -2.094, 0.000, 0.000, -5.375, 5.375, 0.400, 289.227, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 16.630, -134.530, 0.753, -2.094, 0.000, 0.000, -4.888, 4.888, 0.400, 289.227, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.054, -2.094, 0.001, 0.006, 0.027, 0.028, 0.500, 289.327, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 16.631, -134.530, 0.212, -2.095, 0.016, -0.012, -5.738, 5.738, 0.500, 289.327, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.074, -2.094, 0.000, -0.000, 0.256, 0.256, 0.600, 289.427, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 16.624, -134.530, 0.105, -2.096, -0.119, -0.064, 0.332, 0.358, 0.600, 289.427, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.097, -2.094, 0.001, -0.001, 0.199, 0.199, 0.700, 289.527, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 16.611, -134.534, 0.130, -2.101, -0.153, -0.023, 0.181, 0.238, 0.700, 289.527, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.113, -2.094, 0.000, -0.001, 0.117, 0.117, 0.800, 289.627, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 16.599, -134.539, 0.142, -2.106, -0.159, -0.031, 0.091, 0.186, 0.800, 289.627, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.121, -2.094, 0.000, -0.000, 0.061, 0.061, 0.900, 289.727, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 16.585, -134.544, 0.148, -2.112, -0.168, -0.041, 0.042, 0.178, 0.900, 289.727, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.125, -2.094, 0.000, -0.000, 0.030, 0.030, 1.000, 289.827, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 16.569, -134.550, 0.151, -2.118, -0.179, -0.048, 0.017, 0.186, 1.000, 289.827, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.127, -2.094, 0.000, -0.000, 0.014, 0.014, 1.100, 289.927, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 16.553, -134.556, 0.152, -2.125, -0.191, -0.053, 0.006, 0.198, 1.100, 289.927, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.128, -2.094, 0.000, -0.000, 0.006, 0.006, 1.200, 290.027, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 16.535, -134.563, 0.152, -2.132, -0.202, -0.056, 0.001, 0.210, 1.200, 290.027, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.129, -2.094, 0.000, -0.000, 0.003, 0.003, 1.300, 290.127, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 16.516, -134.570, 0.152, -2.140, -0.213, -0.058, -0.002, 0.221, 1.300, 290.127, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.129, -2.094, 0.000, -0.000, 0.001, 0.001, 1.400, 290.227, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 16.496, -134.577, 0.152, -2.148, -0.225, -0.060, -0.003, 0.233, 1.400, 290.227, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.129, -2.094, 0.000, -0.000, 0.001, 0.001, 1.500, 290.327, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 16.475, -134.585, 0.151, -2.157, -0.239, -0.062, -0.005, 0.247, 1.500, 290.327, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 1.600, 290.427, 0.000
0, 0, 2, 265, vehicle.mercedes-benz.coupe, 3, 16.456, -134.589, 0.151, -2.167, -0.167, 0.023, -0.002, 0.168, 1.600, 290.427, 0.000
0, 0, 1, 264, vehicle.mercedes-benz.coupe, 3, -5.261, -98.132, 0.129, -2.094, 0.000, -0.000, 0.000, 0.000, 1.700, 290.527, 0.000
